! (The Song Formerly Known As)	Regurgitator
Gravity	The Whitest Boy Alive
Green Light	John Legend ft Andre 3000
Grind With Me	Pretty Ricky
Guerilla Radio	Rage Against the Machine
Guru's Song	Santana
Hand in Hand	Phil Collins
Hand Me Down Your Love	Hot Chip
Hand Of Blood	Bullet For My Valentine
Hands Held High	Linkin Park
Hang In Long Enough	Phil Collins
Hang on in There	John Legend;The Roots
Hard Times	John Legend;The Roots
Hard to Explain	The Strokes
Harder to breathe	Maroon 5
Hateful Of Love	The Kooks
Havana Moon	Santana
Hazme el amor	Trulala
Head Above Water	Hall & Oates
Heal the World	Michael Jackson
Heard 'Em Say	Kanye West
Heart Skipped a Beat	The XX
Heartache Tonight	The Eagles
Heartbeats	The Knife
Heartbreaker F. John Legend	MSTRKRFT
Heartbreaker	Led Zeppelin
Heartless	Kanye West
Heat On The Street	Phil Collins
Heatwave	SBTRKT
Hello Goodbye	The Beatles
Hello	Lionel Richie
Help!	The Beatles
Here Comes The Sun	The Beatles
Here I Am [Come And Take Me]	Seal
Here Without You (Acoustic)	Three Doors Down
Here Without You	Three Doors Down
Hermaphrodite	Stephen Lynch
Hero of the Day	Metallica
Hey Jude	The Beatles
Hey Mama	Kanye West
High Heel Sneakers	José Feliciano
High On The Heels	The Whitest Boy Alive
High Times	Jamiroquai
High	The Lighthouse Family
Hit The Floor	Linkin Park
Hit the Road Jack	Ray Charles
Hold On	SBTRKT
Hold The Line	Toto
Holdin' On Together	Phoenix
Holiday	Vampire Weekend
Holidays	Miami Horror
Homesick	Kings Of Convenience
Honeymoon	Phoenix
Hope	Thirsty Merc
Horchata	Vampire Weekend
Horror Movie	Skyhooks
Hotel California	The Eagles
How Can You Mend A Broken Heart	Michael Bublé
How Deep Is Your Love	The Rapture
How Do I Breathe	Mario Barrett
How To Touch A Girl	Jojo
Hoy Te Llame	La Konga
Human	Metallica/San Francisco Symphony Orchestra
Humanity (Love the Way It Should Be)	John Legend;The Roots
Hurt Me	The Jezabels
Hurt So Bad	Little anthony
Hurt Sumthin	Missy Elliott
I Am the Walrus	The Beatles
I Believe	Simian Mobile Disco
I Belong To You	Lenny Kravitz
I Call It Love	Lionel Richie
I Can Show You	Tim & Jean
I Can Talk	Two Door Cinema Club
I Can't Go for That (No Can Do) [12" Version][*]	Hall & Oates
I Can't Go for That (No Can Do)	Hall & Oates
I Can't Stand The Rain	Seal
I Can't Tell You Why	The Eagles
I Can't Wait	Little Red
I Can't Write Left Handed	John Legend;The Roots
I Don't Know	Jamie Foxx
I Don't Like You Anymore	The Last Shadow Puppets
I Don't Need It	Jamie Foxx
I Don't Reall Mind	Tame Impala
I Don't Wanna Know	Phil Collins
i dunno 	Bass Drum Of Death
I Feel Better	Hot Chip
I Feel Fine	The Beatles
I Got A Woman	Ray Charles
Tip
I Got You Babe	Mario Winans
I Just Died In Your Arms Tonight (Remix)	Jay Z
I Like to Move it	Madagascar
I Look To You	Miami Horror
I Love You Much Too Much	Santana
I Missed Again	Phil Collins
I Need You Tonight	INXS
I predict a riot	Kaiser Chiefs
I Saw The Light	Spoon
I Started A Joke	The Bee Gees
I Think Ur A Contra	Vampire Weekend
I Used to Love You	John Legend
I Wanna Be Your Lover	Prince
I Want to Hold Your Hand	The Beatles
I Want You (Girlfriend)	Pretty Ricky
I Want You Back	The John Butler Trio
I Want You	The Kooks
I Will Truck (Dirty Projectors cover)	Painted Palms
I Wish I Knew How It Would Feel to Be Free	John Legend;The Roots
I Wish It Would Rain Down	Phil Collins
I Wish Somebody Would Build a Bridge	Thirsty Merc
I'd Rather Dance With You	Kings Of Convenience
I'm An Actor	Phoenix
I'm Not Moving	Phil Collins
I'm So Excited (remix)	Pointers Sisters
I'm Sprung Feat. Statquo (Instrumental)	T-Pain
I'm Sprung Feat. Statquo	T-Pain
I'm Still In Love With You	Seal
I'm Yours	Jason Mraz
I've Been Loving You Too Long	Seal
Ice Cream	Muscles
If I Ever Feel Better (Todd Edwards Better Dub)	Phoenix
If I Ever Feel Better	Phoenix
If I Had Eyes	Jack Johnson
If I Know You	The Presets
If It Kills Me	Jason Mraz
If It's Not With You	Phoenix
If Leaving Me Is Easy	Phil Collins
If Only	The Kooks
If You Don't Know Me By Now	Simply Red
Ignition (Remix)	R Kelly
Illuminated	Miami Horror
Illuminations	Santana
Im Hot	Young Capone
Imaginate	Wisin & Yandel
Imagination	Miami Horror
Imitation of Life	R.E.M.
Immigrant Song	Led Zeppelin
In Between	Linkin Park
In Da Club (Ft. R Kelly)	Lil' Jon & The East Side Boyz
In Five Years (Niva Remix)	Palpitation
In Love With Dusk	KEEP SHELLY IN ATHENS
In My Bed	Little Red
In My Life	The Beatles
In My Room	The Last Shadow Puppets
In Pieces	Linkin Park
In the Air Tonight	Phil Collins
In The End [Live]	Linkin Park
In the Fire	Mammoth Logic
In the Summertime	Thirsty Merc
In the Water	Beat Connection
Infatuated (Feat. Boxie)	Memphis Bleek
Infinite Canyons	Miami Horror
Inflation	The Whitest Boy Alive
Inside Out	Phil Collins
Intentions	The Whitest Boy Alive
Interplanetary Party	Santana
Into The Night (Featuring Chad Kroeger)	Santana/Chad Kroeger
Into The Sun	Lord Huron
Intro	SMH
Introductions	SMH
Intuition Interlude	Jamie Foxx
Is Love Forever?	Spoon
Is This It	The Strokes
Island In The Sun	Weezer
Island	The Whitest Boy Alive
It Aint Over Til Its Over	Lenny Kravitz
It's A Man's Man's Man's World	Seal
It's Alright	Seal
It's Not Meant To Be	Tame Impala
It's Not Unusual	Tom Jones
Jackie Big Tits	The Kooks
James Dean	The Eagles
January 2 (tanto)	Nathan Edwin
Jenny Was a Friend of Mine	The Killers
Jeremy's Storm	Tame Impala
Jesus Walks	Kanye West
Jesus Walks	Kanye West
Jilly Armeen	Jamie T
Jin-Go-Lo-Ba	Santana
Jingo	Santana
Jitterbug	Wham!
Joker & the Thief	Wolfmother
Jugadoras, Jugadores	La Mala Rodriguez
Just A Little Bit	Kids of 88
Just A Ride	Jem
Just Feel Better (Featuring Steven Tyler)	Santana/Steven Tyler
Just Like Me (Feat T.I)	Jamie Foxx
Kashmir	Led Zeppelin
Katie Q	Thirsty Merc
Keep A Secret	The Whitest Boy Alive
Keep Quiet	Hot Chip
Kicking And Screaming	The Presets
Kicks	Hunting Hat
Killing in the Name	Rage Against the Machine
Kiss From A Rose	Seal
Kiss Kiss [Main Version]	Chris Brown/T-Pain
Kiss Your Ass Goodbye (Instrumental)	Sheek Louch Feat. Styles P.
Kiss	Prince
Kisses	Kisses
Kissing A Fool	Michael Bublé
Kites	Geographer
Knock On Wood	Seal
Know How	Kings Of Convenience
Kryptonite	Three Doors Down
L-O-V-E	Nat King Cole
La amo	Sabroso
La barca	Jambao
La Carta	Varios Artists
La nena (bitacora de un secuestro)	Sabroso
La Revolución (Intro) (Original)	Wisin & Yandel
La tempranera	Los cantores del Quilla Huasi
Ladies Night	Kool and the Gang
Lady (Here me Tonigh)	Modjo
Lady Madonna	The Beatles
Lady	Lenny Kravitz
Lasso	Phoenix
Last night a dj saved my life	Indeep
Last Nite	The Strokes
Late	Kanye West
Latin Songs (Mix)	Salsa
Laws Patrolling	CJ/Lil' Bran/Mike Jones
Lazy Boy	Little Red
Leave out All the Rest	Linkin Park
Leave	Jojo
Your Not Hardcore	Jack Black
Let It Be	The Beatles
Let Them	jj
Let Your Love Grow Tall	Passion Pit
Let's Call It Off	Peter Bjorn And John
Let's Move	The Perceptionists
Lets get blown 	Snoop Dog
Life In The Fast Lane	The Eagles
Life Is a Lady	Santana
Life Is Simple In The Moonlight	The Strokes
Light My Fire	José Feliciano
Lightnin'	Santana
Like Snow	Thirsty Merc
Like This And Like That	Snoop Dogg
Like U	Snoop Dog
Limbo	Kimbra
Limelight Ft PC and Big Kuntry	T.I.
Lines	Pete Murray
Lisa It's Your Birthday	Michael Jackson
Listen Like Thieves	INXS
Lisztomania (Yuksek Remix)	Phoenix
Lisztomania	Phoenix
Little Bit Of Something	Little Red
Little Ghetto Boy (Prelude)	John Legend;The Roots
Little Ghetto Boy	John Legend;The Roots
Little girl 'Dark Night of the Soul'	Julian Casablancas
Little Red Corvette	Prince
Little Secrets	Passion Pit
Live High	Jason Mraz
Live Your Life(ft rhianna)	T.I.
Livin It Up	Ja Rule
Living In The 70's	Skyhooks
Living La Vida Loca	Ricky Martin
Living Together (In Sin)	The Whispers
Lollipop [Radio Edit]	Lil Wayne/Static Major
Long Distance Call	Phoenix
Long Long Way To Go	Phil Collins
Longest Road	Morgan Page & Lissie
Looking for a Good Sign	Hall & Oates
Loose Wires/Blink Radio	Kenna
Lopez Pereyra	Los Fronterizos
Losing Keys	Jack Johnson
Losing My Religion	R.E.M.
Losing My Way	Justin Timberlake
Lost And Found	Phoenix
Loud Mouths (Supreme Cuts Mix)	Wise Blood
Love Brings Change (Bonus Track)	Jamie Foxx
Love for a Child	Jason Mraz
Love For Granted	Phoenix
Love Is No Big Truth	Kings Of Convenience
Love It All	The Kooks
Love Like A Sunset Part I	Phoenix
Love Like A Sunset Part II	Phoenix
Love Make	Dog And Panther
Love Me Do	The Beatles
Love	Foster The People
Lovely Rita	The Beatles
Lucidity	Tame Impala
Lucky	Colbie Caillat/Jason Mraz
Lucy in the Sky With Diamonds	The Beatles
Lullabye	Stephen Lynch
Lump Sum Of Paris (Bon Iver vs Friendly Fires & Aeroplane)	The Hood Internet
Lyin' Eyes	The Eagles
Lying From You [Live]	Linkin Park
Macarena	Los Del Rio
Machu Picchu	The Strokes
Magical Mystery Tour	The Beatles
Make It Better	The Knocks
Make It Mine	Jason Mraz
Make It With You	The Whispers
Make Light	Passion Pit
Make You Mine	Miami Horror
Makes Me Wonder	Maroon 5
Maldita hermosa	Sabroso
Mama Said	Lenny Kravitz
Man in the Mirror	Michael Jackson
Man on the Moon	R.E.M.
Manamana	Animal & The Muppets
Maneater  (Morgan Page Remix)	Nelly Furtado
Maneater	Hall & Oates
Manhattan Skyline	Kings Of Convenience
Mano a Mano	Hall & Oates
Mañana	Wisin & Yandel
Maria Maria (Featuring The Product G&B)	Santana/Product G&B
Master of Puppets	Metallica
Matchbox	The Kooks
Me Da Pena	Sabroso
Me haz vuelto loco	Sabroso
Me In You	Kings Of Convenience
Meeting Place	The Last Shadow Puppets
Mess Around	Ray Charles
Message In A Bottle (Acoustic)	John Mayer
Message In A Bottle	Sting & The Police
Metabolism	The Strokes
Mi mundo sin ti	Sabroso
Mi Swing Es Tropical	Quantic & Nickodemus
Michelle	The Beatles
Midnight City	M83
Midnight Show	The Killers
Millionaire Feat Andre 3000	Kelis
Mind's Eye	Wolfmother
Mirage	Santana
Misread	Kings Of Convenience
Missing You	Jem
Mistaken For Strangers	The National
Misty Mountain Hop	Led Zeppelin
Modern Way	Kaiser Chiefs
Mon Meilleur Ami	Yelle
Money	Pink Floyd
Monsoon	Jack Johnson
Moon Theory	Miami Horror
Moondance	Michael Bublé
Moth's Wings	Passion Pit
Motivation	T.I.
Move Your Feet	Junior Senior
Mr. Brightside	The Killers
Mr. Maker	The Kooks
Mrs Cold	Kings Of Convenience
Mrs Robinson	Simon and Garfunkel
Muevelo ( New 2009) 	Wisin & Yandel
Mule Skinner Blues	José Feliciano
Murder Room	Pepper Rabbit
Must get out	Maroon 5
My Apocalypse	Metallica
My Boo	Usher Feat Alicia Keys
My Cabal	School of Seven Bells
My Completeness	Thirsty Merc
My House	Kids of 88
My Life Ft Daz Dillinger	T.I.
My List	The Killers
My Love	Justin Timberlake
My Mistakes Were Made For You	The Last Shadow Puppets
My People	The Presets
My Ship Isn't Pretty	Kings Of Convenience
My Time	Pete Murray
Nadie como tu	Wisin & Yandel
Naïve	The Kooks
Napoleon Feat. Xiu Xiu	Sole And The Skyrider Band
Napoleon Says	Phoenix
Nasty Girl	Notorious B.I.G
Necesito que Vuelva	Sabroso
Nervous In The Light Of Dawn  (Morgan Page Remix)	Leigh Nash
Never Been in Love	Talib Kweli
Never Go Get It	Sean Biggs feat. Topic and Akon
Never Never	SBTRKT
Never Really Was	Mario Winans
Never Tear Us Apart	INXS
New Beat	Toro Y Moi
New Kid In Town	The Eagles
New Sensation	INXS
New Soul (Ft. Yael Naim	Wale
New Theory (Washed Out cover)	Teen Daze
New Theory	Washed Out
New York City Cops	The Strokes
Nightswimming	R.E.M.
Nikki (I Am Not The-Dream)	Gobble Gobble
Nine Thou (Superstars Remix)	Styles of Beyond
No Es Solo Sexo	Sabroso
No Leaf Clover	Metallica
No Longer	The Kooks
No More Sorrow	Linkin Park
No One To Depend On	Santana
No Scrubs	TLC
No Sex For Ben	The Rapture
No Shelter	Rage Against the Machine
No Surprises	Regina Spektor
No te lloro mas	Gocho Feat Arcangel
No te pertenece	Los Clasiqueros
